epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,423.329,0.48077,0.65053,0.87207,0.95608,0.55885,0.63491,0.65656,0.59015,0.55885,0.63491,0.65609,0.59818,0.5167,0.9204,1.11638,1.09492,0.00092825,0.00092825,0.00092825
41,432.343,0.49129,0.67634,0.91295,0.94907,0.56595,0.74627,0.66693,0.58859,0.56595,0.74627,0.66597,0.59667,0.53086,0.98157,1.11014,1.09851,0.00092,0.00092,0.00092
42,441.321,0.48733,0.68195,0.87937,0.97471,0.57325,0.77137,0.64743,0.5569,0.57325,0.77137,0.64522,0.58416,0.5807,0.82425,1.13187,1.13689,0.00091175,0.00091175,0.00091175
43,450.346,0.47668,0.63253,0.89373,0.96375,0.52905,0.71573,0.63666,0.57173,0.52905,0.71573,0.63647,0.584,0.56479,0.82205,1.10051,1.15218,0.0009035,0.0009035,0.0009035
44,459.342,0.52814,0.73074,0.90289,0.98199,0.55454,0.73596,0.65454,0.57983,0.55454,0.73596,0.65844,0.59508,0.51799,0.88735,1.04438,1.10916,0.00089525,0.00089525,0.00089525
45,468.292,0.46669,0.59339,0.84375,0.95984,0.55142,0.70863,0.62935,0.55226,0.55142,0.70863,0.62847,0.55944,0.54785,0.87399,1.02384,1.09586,0.000887,0.000887,0.000887
46,477.356,0.47256,0.55475,0.87876,0.95196,0.60997,0.7184,0.70863,0.62344,0.60997,0.7184,0.70863,0.65222,0.52697,0.83299,1.08059,1.11987,0.00087875,0.00087875,0.00087875
47,486.402,0.46955,0.6222,0.86739,0.97008,0.58547,0.78147,0.62506,0.55828,0.58547,0.78147,0.63069,0.56804,0.52189,0.72499,1.09227,1.12923,0.0008705,0.0008705,0.0008705
48,495.32,0.45816,0.58816,0.83845,0.94466,0.55034,0.70183,0.61091,0.55158,0.55034,0.70183,0.61994,0.55917,0.47962,0.77982,1.17711,1.07159,0.00086225,0.00086225,0.00086225
49,504.271,0.47916,0.65836,0.8391,0.95097,0.61906,0.70428,0.69933,0.63167,0.61906,0.70428,0.70289,0.64129,0.51539,0.65631,1.06662,1.08418,0.000854,0.000854,0.000854
