epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1836.24,0.57964,0.70245,0.6288,1.02133,0.83396,0.78874,0.86116,0.74816,0.83396,0.78874,0.85695,0.75432,0.55304,0.64493,0.62837,1.07453,0.000996313,0.000996313,0.000996313
43,1871.84,0.58802,0.74381,0.61906,1.02343,0.76002,0.85335,0.85835,0.73759,0.76002,0.85335,0.85431,0.76097,0.55715,0.67743,0.58787,1.08027,0.000990125,0.000990125,0.000990125
44,1907.33,0.58869,0.73599,0.6217,1.03133,0.75558,0.84392,0.85206,0.73907,0.75558,0.84392,0.84669,0.7484,0.54101,0.65417,0.58395,1.06554,0.000983938,0.000983938,0.000983938
45,1942.96,0.59431,0.70651,0.65243,1.02906,0.78474,0.80006,0.85061,0.73568,0.78474,0.80006,0.84544,0.74619,0.5523,0.69948,0.67133,1.06076,0.00097775,0.00097775,0.00097775
46,1978.57,0.56536,0.68583,0.60193,1.0184,0.75453,0.86546,0.86808,0.75229,0.75453,0.86546,0.86394,0.76923,0.54972,0.64497,0.58761,1.08467,0.000971562,0.000971562,0.000971562
47,2014.28,0.57016,0.67375,0.5943,1.0166,0.79104,0.83122,0.85641,0.7444,0.78455,0.82395,0.84938,0.76014,0.54754,0.66429,0.59311,1.08125,0.000965375,0.000965375,0.000965375
48,2050.45,0.58583,0.7003,0.59061,1.03279,0.80733,0.80374,0.84954,0.74671,0.80478,0.80119,0.84541,0.75572,0.53098,0.65186,0.61206,1.05941,0.000959187,0.000959187,0.000959187
49,2086.21,0.57011,0.71188,0.58823,1.01262,0.80839,0.84201,0.87052,0.7613,0.80634,0.83946,0.86528,0.76611,0.52235,0.68186,0.5719,1.03449,0.000953,0.000953,0.000953
50,2121.83,0.57165,0.70003,0.59766,1.01725,0.81363,0.81204,0.86429,0.74704,0.81403,0.80718,0.85863,0.7635,0.54192,0.66017,0.6064,1.06388,0.000946812,0.000946812,0.000946812
51,2157.47,0.57482,0.70858,0.6152,1.01392,0.81419,0.81947,0.87278,0.76475,0.81368,0.8142,0.86609,0.76598,0.52374,0.70519,0.58376,1.04787,0.000940625,0.000940625,0.000940625
